train_data1,train_data2,train_data3,train_data4
0,0,-1,0.00625
1,0,0,0.025
0.943391118624195,1.0092404893329,2.27523056390639,0.05
1.0333107631945,0.243654705923625,1.08246397888182,0.05
0.869144769822611,-0.177512153438257,0.132933609461595,0.025
0,0,-1,0.025
1,1,1,0.0125
0,0,0,0.0125
0.924074522398769,-0.522043008710253,1.5443630345556,0.0125
2.03193450857271,0.38202063018837,1.09802916998205,0.05
-0.331362469897772,0.420965020813698,1.34477947664477,0.025
0,0,-1,0.025
0,0,-1,0.025
0,-1,-1,0.0125
0,0,0,0.05
0,-1,-1,0.0125
0,1,0,0.05
0,1,-1,0.1
0.770181817998463,0.565089646159203,0.650450357395639,0.00625
0,0,1,0.00625
-1,0,-1,0.025
0,-1,1,0.00625
0,0,0,0.0125
1.07293826563552,0.460072650095782,1.00225587752162,0.05
0.622768120349897,0.0831815760173124,1.79367951085029,0.025
0.200946523963574,-0.03636335672878,2.09273831946954,0.0125
3.40013755132578,-1.05169116117348,1.16803317410839,0.05
0,1,1,0.0125
0,0,0,0.025
-0.293069078820831,1.16168829047587,2.68533453368889,0.00625
0.917602226795231,2.38331440014945,0.287500729585153,0.025
1,0,-1,0.025
0,-1,-1,0.00625
-0.445269505823328,0.957085008977813,-0.358067068034727,0.1
0,0,1,0.05
0,-1,0,0.0125
1.75966173259625,1.87118496698328,0.103315036089322,0.025
-0.165608819243471,0.295001450328753,0.460003032599005,0.1
1.2783254619378,2.8801218692138,0.269759565010348,0.025
-0.196612061490444,0.918682511978289,0.884599319312337,0.025
-1,1,-1,0.05
0,0,-1,0.1
1.91089636468694,0.265159681216369,0.722838005898988,0.025
1.38404851452717,1.90840925897548,1.03915958115566,0.05
0.475657848037268,-0.0563707330787457,2.11795027607531,0.05
1,-1,0,0.05
0,0,1,0.00625
1.79930651835216,-1.13595971658933,2.14492216985498,0.1
0.23645824907575,2.62604571772336,0.615103485295403,0.00625
-0.563675749838384,0.381275813129596,1.10099537758314,0.025
1,0,0,0.0125
1.29806457864372,1.98288597504737,1.47027131192853,0.00625
-1,0,1,0.1
2.77771617305099,0.695560196026442,1.87753307907734,0.05
0,1,0,0.05
0.460040240374291,1.09428479626538,0.171491036783147,0.1
0,0,-1,0.00625
0,1,1,0.1
2.02785457114175,-0.292783608784969,0.744710048382557,0.0125
0,0,0,0.00625
0.208609415262705,0.909180091649602,0.925866687124872,0.00625
0,0,0,0.05
-0.415296182825732,-0.675954263924816,0.914334240435688,0.00625
0,-1,1,0.00625
0.862123164840306,1.40975367765224,1.03851692319003,0.00625
0,-1,1,0.0125
0,0,1,0.0125
2.10868342893886,1.93504380836841,0.799720273846944,0.0125
0,-1,0,0.0125
0.0450734871405641,3.73688311826366,1.43716170993133,0.1
0.0545718304507422,0.0341781874611511,2.22011991139715,0.00625
0,-1,-1,0.1
1.33995888756549,0.245005645836649,1.09224337978638,0.05
0.172421235893114,0.75805370380072,0.381960190132226,0.05
-0.44109686976074,0.0210099850522029,3.1753663275913,0.025
0.938720658797832,-0.556357380458389,1.52093000338085,0.025
0,-1,0,0.00625
0,-1,-1,0.0125
-0.202742959604294,0.931742372459186,2.19425065729356,0.05
0.747099421207349,1.31884941867184,-0.63443112259302,0.0125
0,0,-1,0.0125
0,-1,-1,0.025
1.53987434254785,0.966833536941593,0.347737803187391,0.00625
0.980614969310244,1.50685905124436,1.49228227668556,0.025
0,-1,-1,0.0125
0.121300720113413,0.332658299207561,0.439055134318301,0.00625
1.36784610652284,0.240128083484068,-0.0796215938073277,0.1
1.15814630086602,0.670333810074385,-0.160955956893363,0.05
1.38083622080555,0.128593856416823,1.77630566783431,0.0125
0.294572661461297,2.177256458589,1.4290100230866,0.1
1,1,-1,0.05
0.670992945067693,-0.867752233361015,0.912660789028596,0.025
0.464686444043641,2.17463217911111,1.62348585361144,0.0125
-0.202742959604294,0.931742372459186,2.19425065729356,0.1
1,-1,-1,0.05
0,1,1,0.05
2.94921540402197,0.601566013260351,1.94348827181874,0.0125
0,-1,1,0.1
0.0509963282904086,1.25209345223248,2.09293834365256,0.05
2.63447038434854,1.87891260905021,-0.10085104646328,0.1
0,-1,0,0.05
0.500201035123088,-1.02069608175331,1.60340085262906,0.1
1.96683272898304,0.618603849019,0.347686181649797,0.05
0,0,1,0.0125
0,0,0,0.025
0,0,0,0.00625
-0.0926292149851791,2.07724599588457,0.997688477244558,0.025
1.58241372794383,2.75906664995505,2.50770957659023,0.00625
-1,0,0,0.05
0.284821929774698,1.4559913974595,1.23199562615294,0.1
-0.111349569376684,-0.430657759299237,-0.634865291379045,0.1
0,-1,-1,0.0125
1,1,-1,0.0125
