data1,data2,data3,data4
-0.52249856471595,-0.418659737537428,-0.30901699437495,0.05
0.00144858139267501,9.23013622956149e-05,1.04325688711994e-60,0.025
-0.522498564715948,-0.587785252292472,-0.649448048330183,0.00625
1,0.980877581765526,0.925328113903962,0.05
0.230755425403827,0.119364378515659,0.0493794544445628,0.05
-0.999229036240723,-0.995184726672197,-0.972369920397677,0.1
-0.382683432365093,-0.555570233019604,-0.707106781186549,0.025
-2.02128619922972e-15,0.195090322016126,0.382683432365087,0.025
0.0952699361691369,0.0493794544445629,0.0214466094067264,0.1
0.0257922402675482,0.0745315935936665,0.161969897428025,0.1
0.428381372890605,0.250000000000001,0.119364378515656,0.1
-0.587785252292472,-0.649448048330183,-0.707106781186547,0.0125
3.78942393253362e-05,0.000598866149291657,0.00296989444237524,0.1
0.678800745532942,0.649448048330184,0.619093949309834,0.05
0.0588708036511899,-0.0784590957278475,-0.214309153065051,0.05
-0.931214934758804,-0.872496007072798,-0.797320653772708,0.1
0.29076850528953,0.453007782838741,0.630265501849366,0.00625
1.04325688711994e-60,0.00144858139267501,0.0214466094067258,0.05
0.630265501849366,0.477953368534226,0.334335167983218,0.05
0.25,0.404140204388274,0.579500469890531,0.00625
-0.809016994374947,-0.760405965600031,-0.707106781186547,0.00625
0.00710062289436349,0.00144858139267504,9.23013622956178e-05,0.1
0.972369920397677,0.987688340595138,0.996917333733128,0.0125
0.604949687464164,0.728553390593275,0.838570235196908,0.025
4.89858719658941e-16,0.0980171403295625,0.19509032201613,0.0125
0.838570235196909,0.728553390593272,0.604949687464163,0.00625
0.312222458679207,0.177900702942989,0.0844891251900125,0.05
0.0392598157590678,-0.0784590957278455,-0.195090322016129,0.05
0.250000000000001,0.357060219444154,0.477953368534225,0.05
0.0424802495568948,0.0214466094067262,0.00911862710939455,0.05
-0.38268343236509,-0.453990499739546,-0.522498564715948,0.0125
0.818135621484343,0.85806889464449,0.893976418630743,0.1
0.980785280403231,0.956940335732209,0.923879532511287,0.1
0.250000000000001,0.161969897428025,0.0952699361691369,0.025
2.91506610977416e-61,0.00144858139267502,0.0214466094067265,0.0125
0.820401443525513,0.891006524188367,0.944806046466877,0.05
-0.471396736825998,-0.382683432365088,-0.290284677254461,0.05
0.477953368534226,0.728553390593277,0.925328113903961,0.025
